t2	x2	y2	vx2	vy2	v2
0,00E+00	-4,69E-02	4,69E-02	0	0	0
3,17E-02	-2,27E-01	1,72E-01	-6,04E+00	4,19E+00	7,356980816
6,33E-02	-4,30E-01	3,13E-01	-4,44E+00	2,88E+00	5,291989655
1,27E-01	-6,48E-01	4,45E-01	-4,52E+00	2,47E+00	5,152122987
1,58E-01	-8,59E-01	5,47E-01	-6,54E+00	2,47E+00	6,987833363
1,90E-01	-1,06E+00	6,02E-01	-6,54E+00	2,34E+00	6,945240967
2,22E-01	-1,27E+00	6,95E-01	-6,54E+00	2,34E+00	6,945240967
2,53E-01	-1,48E+00	7,50E-01	-6,41E+00	1,36E+00	6,556422501
2,85E-01	-1,68E+00	7,81E-01	-6,04E+00	4,93E-01	6,064514198
3,17E-01	-1,86E+00	7,81E-01	-5,80E+00	2,47E-01	5,802943785
3,48E-01	-2,05E+00	7,97E-01	-5,92E+00	-4,93E-01	5,941576644
3,80E-01	-2,23E+00	7,50E-01	-5,67E+00	-1,36E+00	5,834325707
4,12E-01	-2,41E+00	7,11E-01	-5,43E+00	-1,36E+00	5,594675008
4,43E-01	-2,58E+00	6,64E-01	-5,43E+00	-1,73E+00	5,69575529
4,75E-01	-2,75E+00	6,02E-01	-5,67E+00	-2,34E+00	6,139325793
5,07E-01	-2,94E+00	5,16E-01	-5,80E+00	-3,33E+00	6,686264546
5,38E-01	-3,12E+00	3,91E-01	-5,06E+00	-3,45E+00	6,124436605
5,70E-01	-3,26E+00	2,97E-01	-5,06E+00	-3,82E+00	6,340508597
6,02E-01	-3,44E+00	1,48E-01	-4,81E+00	-4,32E+00	6,46409794
6,33E-01	-3,56E+00	2,34E-02	-4,19E+00	-4,69E+00	6,289908975
6,65E-01	-3,70E+00	-1,48E-01	-3,21E+00	-3,37E+00	4,653472278
7,28E-01	-3,87E+00	-2,97E-01	-3,29E+00	-3,70E+00	4,951313849
7,60E-01	-4,02E+00	-5,00E-01	-4,44E+00	-6,17E+00	7,600125484
7,92E-01	-4,15E+00	-6,88E-01	-3,82E+00	-5,18E+00	6,439333648
